iter	Passed	Remaining
418	2381	3302
419	2387	3296
420	2393	3291
421	2398	3284
422	2403	3278
423	2408	3272
424	2414	3266
425	2419	3260
426	2425	3254
427	2430	3248
428	2436	3242
429	2441	3236
430	2446	3230
431	2452	3224
432	2458	3218
433	2463	3212
434	2468	3206
435	2473	3200
436	2479	3194
437	2484	3187
438	2489	3181
439	2495	3175
440	2500	3169
441	2505	3163
442	2510	3156
443	2515	3150
444	2521	3144
445	2525	3137
446	2531	3131
447	2536	3125
448	2541	3119
449	2547	3113
450	2551	3106
451	2557	3100
452	2562	3094
453	2567	3088
454	2573	3082
455	2579	3077
456	2585	3072
457	2591	3067
458	2598	3062
459	2604	3056
460	2610	3051
461	2616	3046
462	2622	3041
463	2627	3035
464	2633	3030
465	2639	3024
466	2644	3018
467	2650	3012
468	2655	3006
469	2660	2999
470	2665	2993
471	2671	2988
472	2676	2981
473	2681	2975
474	2687	2970
475	2692	2963
476	2697	2957
477	2702	2951
478	2707	2945
479	2714	2940
480	2719	2933
481	2724	2927
482	2729	2921
483	2734	2915
484	2740	2909
485	2745	2903
486	2751	2898
487	2756	2892
488	2762	2886
489	2768	2881
490	2772	2874
491	2778	2868
492	2783	2862
493	2788	2856
494	2794	2850
495	2798	2843
496	2804	2838
497	2809	2831
498	2813	2825
499	2819	2819
500	2823	2812
501	2828	2806
502	2834	2800
503	2839	2794
504	2844	2788
505	2849	2782
506	2855	2776
507	2860	2770
508	2865	2763
509	2870	2757
510	2875	2751
511	2880	2745
512	2885	2739
513	2890	2732
514	2896	2727
515	2900	2721
516	2906	2715
517	2911	2709
518	2916	2703
519	2921	2697
520	2927	2691
521	2932	2685
522	2937	2679
523	2942	2673
524	2948	2667
525	2953	2661
526	2958	2655
527	2963	2649
528	2968	2643
529	2974	2637
530	2979	2631
531	2983	2624
532	2989	2619
533	2994	2612
534	2998	2606
535	3003	2600
536	3009	2594
537	3014	2588
538	3018	2582
539	3024	2576
540	3029	2570
541	3034	2564
542	3039	2558
543	3044	2552
544	3051	2547
545	3056	2541
546	3061	2535
547	3066	2529
548	3072	2523
549	3077	2518
550	3083	2512
551	3088	2506
552	3094	2501
553	3100	2495
554	3105	2490
555	3110	2484
556	3116	2478
557	3121	2472
558	3126	2466
559	3132	2461
560	3137	2455
561	3143	2449
562	3148	2444
563	3153	2437
564	3158	2432
565	3163	2425
566	3169	2420
567	3173	2413
568	3178	2407
569	3184	2402
570	3188	2395
571	3194	2390
572	3199	2384
573	3204	2378
574	3209	2372
575	3214	2366
576	3219	2360
577	3224	2354
578	3229	2347
579	3234	2342
580	3239	2336
581	3243	2329
582	3249	2323
583	3254	2318
584	3259	2312
