iter	MultiClass
0	1.556044385
1	1.362028998
2	1.221937344
3	1.126990164
4	1.02814077
5	0.9367621142
6	0.8784256941
7	0.8154230313
8	0.755055842
9	0.7070163922
10	0.6544109143
11	0.6131128775
12	0.572204802
13	0.5382210378
14	0.5115059699
15	0.4807556785
16	0.4525638396
17	0.4326179202
18	0.410076019
19	0.3863831242
20	0.3651156424
21	0.3519761879
22	0.3380229354
23	0.3262733418
24	0.3146918479
25	0.3001941902
26	0.2883804013
27	0.2756260128
28	0.2674207349
29	0.2587803234
30	0.2493049947
31	0.2403136505
32	0.2337080862
33	0.2251989805
34	0.2183256353
35	0.2094560733
36	0.2041251707
37	0.1953584677
38	0.1904557128
39	0.1825225078
40	0.1761783392
41	0.1719440574
42	0.1691346814
43	0.1629479351
44	0.1588357664
45	0.1550648796
46	0.1512446057
47	0.1474262173
48	0.1454033066
49	0.1423512871
50	0.1391713332
51	0.1360339918
52	0.1340575087
53	0.1309514916
54	0.1295248177
55	0.1282969542
56	0.1262171177
57	0.1244189017
58	0.1230932171
59	0.1220946277
60	0.1198347045
61	0.1185113514
62	0.1164391352
63	0.113845839
64	0.1133104644
65	0.1110838491
66	0.1090916187
67	0.1066920867
68	0.1059714609
69	0.1040591174
70	0.1032389448
71	0.1025390332
72	0.1014012241
73	0.09925840017
74	0.09865321352
75	0.09709557607
76	0.09573833521
77	0.09497131247
78	0.09426345752
79	0.09304473687
80	0.09207521519
81	0.09028245463
82	0.08899766739
83	0.08846001109
84	0.08618178819
85	0.08496708272
86	0.08428793761
87	0.08348948969
88	0.0822137384
89	0.08056951383
90	0.07947769958
91	0.07870198063
92	0.07786680595
93	0.07701098831
94	0.07514660758
95	0.07438682892
96	0.0739463081
97	0.0733742617
98	0.07277266811
99	0.07224736011
100	0.07108934955
101	0.07061745507
102	0.07001503244
103	0.06826143846
104	0.06738108187
105	0.06657471229
106	0.0659190532
107	0.06514502025
108	0.06454698425
109	0.06370282694
110	0.06316304017
111	0.06261006857
112	0.06187303236
113	0.06152410695
114	0.06031655923
115	0.05928205315
116	0.0585741901
117	0.05799135399
118	0.05673931278
119	0.05637787247
120	0.05586555302
121	0.05537571881
122	0.05508388236
123	0.05453791675
124	0.05412239054
125	0.05391369685
126	0.05294841595
127	0.05263342225
128	0.05243303333
129	0.05212361511
130	0.05190658044
131	0.051548345
132	0.05084853213
133	0.05030235901
134	0.0496305349
135	0.04945870869
136	0.04925714416
137	0.04902515563
138	0.04861270334
139	0.04777031394
140	0.0467934655
141	0.04612483802
142	0.04587152243
143	0.04570106411
144	0.0452554732
145	0.04485976449
146	0.0441244692
147	0.04319188676
148	0.04262917936
149	0.04236847
150	0.04186303579
151	0.04115454733
152	0.04092153061
153	0.0408127566
154	0.04037797806
155	0.03998151977
156	0.03985738315
157	0.03947809082
158	0.03922335426
159	0.03905479088
160	0.03888568366
161	0.03821502016
162	0.0381396478
163	0.03802384724
164	0.03784199875
165	0.03764975405
166	0.03723434375
167	0.03668782104
168	0.03651164673
169	0.03632618751
170	0.03616434784
171	0.0359442886
172	0.03554512514
173	0.03543743286
174	0.03521319288
175	0.03512533355
176	0.03493837529
177	0.03477691494
178	0.03444905326
179	0.03424683597
180	0.03408903455
181	0.03377052791
182	0.03360590245
183	0.03350536262
184	0.0333978682
185	0.03333671098
186	0.03289218094
187	0.03249597485
188	0.0324080228
189	0.03223845114
190	0.03215813231
191	0.03202011349
192	0.03187992625
193	0.03175394721
194	0.03169901403
195	0.03145615464
196	0.03138071575
197	0.03128256738
198	0.03120412784
199	0.03108186441
200	0.03091056404
201	0.03081967231
202	0.0307632234
203	0.03068535237
204	0.0305849421
205	0.03046094562
206	0.03033990675
207	0.02994856089
208	0.02978428345
209	0.02970348735
210	0.02955745243
211	0.02934252319
212	0.02921623081
213	0.02911344729
214	0.02901434339
215	0.02889663797
216	0.02873024565
217	0.02866364452
218	0.02856248434
219	0.0284474331
220	0.02837052316
221	0.02829221499
222	0.0282130158
223	0.02795443243
224	0.02787091405
225	0.02776296832
226	0.02724895241
227	0.02714428933
228	0.02697607843
229	0.02684794614
230	0.02671894852
231	0.02656046056
232	0.02647345111
233	0.02635527572
234	0.02625032485
235	0.02607352231
236	0.02600690867
237	0.02592854592
238	0.02581080309
239	0.02574364889
240	0.02537307888
241	0.02532142959
242	0.02518684739
243	0.02510077601
244	0.02502025863
245	0.02492207232
246	0.02477096775
247	0.02457474829
248	0.02451332042
249	0.0244127605
250	0.02436634087
251	0.02430565098
252	0.02412378969
253	0.02387279661
254	0.02363076908
255	0.02358824132
256	0.02338780187
257	0.02313630569
258	0.0230052997
259	0.02294072574
260	0.02285879946
261	0.022795787
262	0.02256188999
263	0.02251122648
264	0.02242642269
265	0.02238161159
266	0.02228456333
267	0.02224131524
268	0.02210632137
269	0.02201104151
270	0.02190628658
271	0.02181835968
272	0.02176684685
273	0.02171689981
274	0.02166310592
275	0.0215550902
276	0.02151201483
277	0.02147286719
278	0.02145422487
279	0.02141962002
280	0.02135581734
281	0.02126427717
282	0.02114495576
283	0.02107064096
284	0.02096204942
285	0.02092700894
286	0.02090086324
287	0.02067243195
288	0.02053682881
289	0.02037028492
290	0.02023899233
291	0.02021045807
292	0.02014449328
293	0.02008054987
294	0.01992604294
295	0.01987411423
296	0.01975502438
297	0.01968337845
298	0.01965623658
299	0.01952124512
300	0.01950369448
301	0.01944838356
302	0.01941320202
303	0.01927265224
304	0.01916304671
305	0.01902708364
306	0.01900090877
307	0.01892823051
308	0.01882003321
309	0.01880492345
310	0.01870877686
311	0.01861365761
312	0.01843741586
313	0.01836162024
314	0.01827678311
315	0.01826269457
316	0.01818418268
317	0.01817333178
318	0.01812259945
319	0.01808060682
320	0.01804581543
321	0.01801751826
322	0.01798261554
323	0.01792383849
324	0.01789615543
325	0.01787361686
326	0.01783863829
327	0.01780869983
328	0.01763833333
329	0.01756682005
330	0.01754925152
331	0.01748559327
332	0.01743157334
333	0.01732639672
334	0.01731542327
335	0.01726954539
336	0.01724637297
337	0.01721122015
338	0.01714776465
339	0.01709953527
340	0.0170516567
341	0.01699468349
342	0.01696631615
343	0.0168528297
344	0.01681350746
345	0.01677829947
346	0.01671377684
347	0.01669361424
348	0.01660475904
349	0.01656642773
350	0.01653925856
351	0.01647995917
352	0.01645532627
353	0.01643672106
354	0.01635613251
355	0.01632459515
356	0.01628815555
357	0.01626593723
358	0.01621762832
359	0.01616003217
360	0.01613473451
361	0.016088987
362	0.0160762509
363	0.01605341224
364	0.01603134868
365	0.01599556525
366	0.01593193955
367	0.01590738473
368	0.01588990089
369	0.01583053688
370	0.01579186833
371	0.01575144126
372	0.01562493814
373	0.01560312651
374	0.01557686729
375	0.01555666155
376	0.01552261592
377	0.01550372236
378	0.01548901376
379	0.01546416391
380	0.01542381621
381	0.01539767711
382	0.01535129953
383	0.01532561245
384	0.01531546233
385	0.01527696642
386	0.01511992727
387	0.01510572765
388	0.01509455264
389	0.01506803967
390	0.01504691888
391	0.01503898019
392	0.0149599137
393	0.01493601366
394	0.01491714394
395	0.01490930163
396	0.01487098481
397	0.01484296217
398	0.01477043521
399	0.01475435943
400	0.01471706154
401	0.01468970786
402	0.0146634323
403	0.01456281091
404	0.01454619072
405	0.01451594928
406	0.01447156734
407	0.01442888851
408	0.01428886602
409	0.01427595657
410	0.01426133387
411	0.01421244539
412	0.01419830252
413	0.01417278674
414	0.01415026485
415	0.0141393878
416	0.01410258779
417	0.01409180311
418	0.01406778208
419	0.01398022667
420	0.01396229507
421	0.01388951736
422	0.01385364234
423	0.01383171384
424	0.01379841988
425	0.01376983132
426	0.01373602867
427	0.01367935793
428	0.01366861922
429	0.01362047703
430	0.01359947378
431	0.01354397743
432	0.01347567819
433	0.01345598724
434	0.01340785903
435	0.01339098722
436	0.01336836625
437	0.01335280282
438	0.01333453396
439	0.01331418049
440	0.01330531891
441	0.01324458115
442	0.0131831674
443	0.01315489395
444	0.01313509319
445	0.0130996197
446	0.01307328113
447	0.01304684922
448	0.01301440693
449	0.012963305
450	0.01295296065
451	0.0128128964
452	0.01269350644
453	0.01266754817
454	0.01265521312
455	0.01262087786
456	0.01259639547
457	0.01256548139
458	0.01254831268
459	0.01253414239
460	0.01250746067
461	0.01248743084
462	0.01247461713
463	0.0124470429
464	0.01242568484
465	0.01239148398
466	0.01227805894
467	0.01222547821
468	0.01219881121
469	0.01211270102
470	0.0121036447
471	0.01208510405
472	0.0120717712
473	0.01205293248
474	0.01204089791
475	0.01201252052
476	0.0119912691
477	0.01193870682
478	0.01192614674
479	0.01186437204
480	0.01185009342
481	0.01180682362
482	0.0117465609
483	0.01173073924
484	0.01169205364
485	0.01167846727
486	0.01166881226
487	0.01165097004
488	0.01163961233
489	0.01161780183
490	0.01159960793
491	0.01158427387
492	0.0115618364
493	0.01154647142
494	0.01147275581
495	0.01145280176
496	0.01143032122
497	0.01139723244
498	0.01137642048
499	0.01135332901
500	0.01124473972
501	0.01123265525
502	0.01122398635
503	0.01120325651
504	0.01112985214
505	0.01112027024
506	0.01109147758
507	0.01104549619
508	0.01102856766
509	0.01101375619
510	0.01099175138
511	0.01097461174
512	0.01093422967
513	0.01091118376
514	0.01088446474
515	0.01086691953
516	0.01084660656
517	0.01076342739
518	0.01075713516
519	0.01074148923
520	0.01073237003
521	0.01071123001
522	0.01070409856
523	0.01067468722
524	0.01065551829
525	0.01064236562
526	0.01063062124
527	0.01061219428
528	0.01060070261
529	0.01058603394
530	0.01057098916
531	0.01055882608
532	0.0105118076
533	0.01047552739
534	0.01046649172
535	0.01045608398
536	0.01041994693
537	0.01040702099
